index,Sku,Catalog,Category,Weight,TP,MRP Old,Final MRP Old,Ajio MRP,Amazon MRP,Amazon FBA MRP,Flipkart MRP,Limeroad MRP,Myntra MRP,Paytm MRP,Snapdeal MRP
788,2XL,Surmaya,Kurta Set,0.4,695,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
789,3XL,Surmaya,Kurta Set,0.4,695,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
790,S,Surmaya,Kurta Set,0.4,1140,2595,2595,2595,2595,2595,2595,2595,2595,2595,2595
791,M,Surmaya,Kurta Set,0.4,1140,2595,2595,2595,2595,2595,2595,2595,2595,2595,2595
792,L,Surmaya,Kurta Set,0.4,1140,2595,2595,2595,2595,2595,2595,2595,2595,2595,2595
793,XL,Surmaya,Kurta Set,0.4,1140,2595,2595,2595,2595,2595,2595,2595,2595,2595,2595
794,2XL,Surmaya,Kurta Set,0.4,1140,2595,2595,2595,2595,2595,2595,2595,2595,2595,2595
795,3XL,Surmaya,Kurta Set,0.4,1140,2595,2595,2595,2595,2595,2595,2595,2595,2595,2595
796,S,Surmaya,Kurta Set,0.4,980,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295
797,M,Surmaya,Kurta Set,0.4,980,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295
798,L,Surmaya,Kurta Set,0.4,980,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295
799,XL,Surmaya,Kurta Set,0.4,980,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295
800,2XL,Surmaya,Kurta Set,0.4,980,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295
801,3XL,Surmaya,Kurta Set,0.4,980,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295
802,S,Surmaya,Kurta Set,0.4,950,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495
803,M,Surmaya,Kurta Set,0.4,950,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495
804,L,Surmaya,Kurta Set,0.4,950,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495
805,XL,Surmaya,Kurta Set,0.4,950,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495
806,2XL,Surmaya,Kurta Set,0.4,950,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495
807,3XL,Surmaya,Kurta Set,0.4,950,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495
808,S,Four Gems 2,Kurta Set,0.4,680,2795,2795,2995,2795,2795,2795,2795,2795,2795,2795
809,M,Four Gems 2,Kurta Set,0.4,680,2795,2795,2995,2795,2795,2795,2795,2795,2795,2795
810,L,Four Gems 2,Kurta Set,0.4,680,2795,2795,2995,2795,2795,2795,2795,2795,2795,2795
811,XL,Four Gems 2,Kurta Set,0.4,680,2795,2795,2995,2795,2795,2795,2795,2795,2795,2795
812,2XL,Four Gems 2,Kurta Set,0.4,680,2795,2795,2995,2795,2795,2795,2795,2795,2795,2795
813,3XL,Four Gems 2,Kurta Set,0.4,680,2795,2795,2995,2795,2795,2795,2795,2795,2795,2795
814,S,Four Gems 2,Kurta Set,0.4,680,2795,2795,2995,2795,2795,2795,2795,2795,2795,2795
815,M,Four Gems 2,Kurta Set,0.4,680,2795,2795,2995,2795,2795,2795,2795,2795,2795,2795
816,L,Four Gems 2,Kurta Set,0.4,680,2795,2795,2995,2795,2795,2795,2795,2795,2795,2795
817,XL,Four Gems 2,Kurta Set,0.4,680,2795,2795,2995,2795,2795,2795,2795,2795,2795,2795
818,2XL,Four Gems 2,Kurta Set,0.4,680,2795,2795,2995,2795,2795,2795,2795,2795,2795,2795
819,3XL,Four Gems 2,Kurta Set,0.4,680,2795,2795,2995,2795,2795,2795,2795,2795,2795,2795
820,S,Four Gems 2,Kurta Set,0.4,680,2795,2795,2995,2795,2795,2795,2795,2795,2795,2795
821,M,Four Gems 2,Kurta Set,0.4,680,2795,2795,2995,2795,2795,2795,2795,2795,2795,2795
822,L,Four Gems 2,Kurta Set,0.4,680,2795,2795,2995,2795,2795,2795,2795,2795,2795,2795
823,XL,Four Gems 2,Kurta Set,0.4,680,2795,2795,2995,2795,2795,2795,2795,2795,2795,2795
824,2XL,Four Gems 2,Kurta Set,0.4,680,2795,2795,2995,2795,2795,2795,2795,2795,2795,2795
825,3XL,Four Gems 2,Kurta Set,0.4,680,2795,2795,2995,2795,2795,2795,2795,2795,2795,2795
