index,Stock,Category,Size,Color
5099,4.0,DRESS,XS,Blue
5100,2.0,DRESS,XXL,Blue
5101,2.0,DRESS,XXXL,Blue
5102,52.0,KURTA,L,Green
5103,55.0,KURTA,M,Green
5104,30.0,KURTA,S,Green
5105,27.0,KURTA,XL,Green
5106,8.0,KURTA,XS,Green
5107,11.0,KURTA,XXL,Green
5108,13.0,KURTA,XXXL,Green
5109,19.0,KURTA,L,Teal
5110,21.0,KURTA,M,Teal
5111,54.0,KURTA,S,Teal
5112,9.0,KURTA,XL,Teal
5113,29.0,KURTA,XS,Teal
5114,103.0,KURTA,XXL,Teal
5115,3.0,KURTA,XXXL,Teal
5116,105.0,KURTA,L,Maroon
5117,102.0,KURTA,M,Maroon
5118,101.0,KURTA,S,Maroon
5119,88.0,KURTA,XL,Maroon
5120,23.0,KURTA,XS,Maroon
5121,87.0,KURTA,XXL,Maroon
5122,7.0,KURTA,XXXL,Maroon
5123,51.0,KURTA,L,Maroon
5124,62.0,KURTA,M,Maroon
5125,14.0,KURTA,S,Maroon
5126,61.0,KURTA,XL,Maroon
5127,7.0,KURTA,XS,Maroon
5128,74.0,KURTA,XXL,Maroon
5129,8.0,KURTA,XXXL,Maroon
5130,2.0,KURTA,L,Charcoal
5131,11.0,KURTA,M,Charcoal
5132,53.0,KURTA,S,Charcoal
5133,1.0,KURTA,XL,Charcoal
5134,27.0,KURTA,XS,Charcoal
5135,2.0,KURTA,XXL,Charcoal
5136,12.0,KURTA,XXXL,Charcoal
5137,58.0,KURTA,L,Orange
5138,72.0,KURTA,M,Orange
5139,28.0,KURTA,S,Orange
5140,73.0,KURTA,XL,Orange
5141,37.0,KURTA,XS,Orange
5142,21.0,KURTA,XXL,Orange
5143,29.0,KURTA,XXXL,Orange
5144,30.0,TOP,L,Maroon
5145,8.0,TOP,M,Maroon
5146,10.0,TOP,S,Maroon
5147,5.0,TOP,XL,Maroon
5148,21.0,TOP,XS,Maroon
5149,15.0,TOP,XXL,Maroon
5151,61.0,TOP,L,Green
5152,56.0,TOP,M,Green
5153,6.0,TOP,S,Green
5154,6.0,TOP,XL,Green
5155,18.0,TOP,XS,Green
5156,3.0,TOP,XXL,Green
5157,0.0,TOP,L,Black
5158,0.0,TOP,M,Black
5159,4.0,TOP,S,Black
5160,0.0,TOP,XL,Black
5161,3.0,TOP,XS,Black
5162,2.0,TOP,XXL,Black
5163,2.0,TOP,L,Peach
5164,0.0,TOP,M,Peach
5165,0.0,TOP,S,Peach
5166,3.0,TOP,XL,Peach
5167,3.0,TOP,XS,Peach
5168,3.0,TOP,XXL,Peach
5169,0.0,TOP,L,Cream
5170,1.0,TOP,M,Cream
5171,2.0,TOP,S,Cream
5172,2.0,TOP,XL,Cream
5173,4.0,TOP,XS,Cream
5174,2.0,TOP,XXL,Cream
5175,1.0,TOP,L,Blue
5176,0.0,TOP,M,Blue
5177,1.0,TOP,S,Blue
5178,3.0,TOP,XL,Blue
5179,1.0,TOP,XS,Blue
5180,3.0,TOP,XXL,Blue
5181,205.0,TOP,L,Red
5182,214.0,TOP,M,Red
5183,315.0,TOP,S,Red
5184,81.0,TOP,XL,Red
5185,288.0,TOP,XS,Red
5186,99.0,TOP,XXL,Red
5188,1.0,TOP,L,Pink
5189,2.0,TOP,M,Pink
5190,2.0,TOP,S,Pink
5191,1.0,TOP,XL,Pink
5192,6.0,TOP,XS,Pink
5193,1.0,TOP,XXL,Pink
5194,6.0,TOP,L,Cream
5195,3.0,TOP,M,Cream
5196,7.0,TOP,S,Cream
5197,5.0,TOP,XL,Cream
5198,4.0,TOP,XS,Cream
5199,7.0,TOP,XXL,Cream
5200,1.0,TOP,L,Black
5201,0.0,TOP,M,Black
5202,2.0,TOP,S,Black
5203,3.0,TOP,XL,Black
5204,4.0,TOP,XS,Black
5205,2.0,TOP,XXL,Black
5206,19.0,TOP,L,Maroon
5207,7.0,TOP,M,Maroon
5208,11.0,TOP,S,Maroon
5209,3.0,TOP,XL,Maroon
5210,19.0,TOP,XS,Maroon
5211,6.0,TOP,XXL,Maroon
5212,9.0,TOP,L,OFF WHITE
5213,3.0,TOP,M,OFF WHITE
5214,2.0,TOP,S,OFF WHITE
5215,5.0,TOP,XL,OFF WHITE
5216,2.0,TOP,XS,OFF WHITE
5217,4.0,TOP,XXL,OFF WHITE
5218,1.0,TOP,XXXL,OFF WHITE
5219,2.0,TOP,L,Cream
